"","Var1","Freq"
"1","성매수男",8
"2","연하男",7
"3","사우디男",6
"4","중년男",5
"5","성실男",4
"6","성폭행男",4
"7","루저男",3
"8","무직男",3
"9","채팅男",3
"10","한국男",3
"11","A형男",2
"12","동거男",2
"13","미혼男",2
"14","상대男",2
"15","에이즈男",2
"16","조루男",2
"17","찌질男",2
"18","男女",2
"19","고개숙인男",1
"20","공개男",1
"21","교포男",1
"22","근육질男",1
"23","기혼男",1
"24","날린男",1
"25","내연男",1
"26","농촌男",1
"27","단신男",1
"28","돌싱男",1
"29","맞선男",1
"30","매력男",1
"31","반듯男",1
"32","백수男",1
"33","베스트드레서男",1
"34","불임男",1
"35","브라질男",1
"36","사기男",1
"37","상속男",1
"38","성추행男",1
"39","소심男",1
"40","신청男",1
"41","알선男",1
"42","엣지男",1
"43","운전男",1
"44","의심男",1
"45","이혼男",1
"46","잃는男",1
"47","전문직男",1
"48","직장男",1
"49","청구男",1
"50","초식男",1
"51","치른男",1
"52","택시기사男",1
"53","푼수男",1
"54","협박男",1
"55","훔친男",1
"56","男과女",1
"57","男ㆍ女",1
