"","Var1","Freq"
"1","미혼男",8
"2","성매수男",7
"3","직장男",7
"4","중년男",6
"5","뚱뚱男",5
"6","변태男",5
"7","주부男",5
"8","동거男",4
"9","엽기男",4
"10","집착男",4
"11","농촌男",3
"12","몰카男",3
"13","백인男",3
"14","부킹男",3
"15","실연男",3
"16","에이즈男",3
"17","초반男",3
"18","패륜男",3
"19","한국男",3
"20","감염男",2
"21","막말男",2
"22","불륜男",2
"23","비만男",2
"24","상대男",2
"25","서울男",2
"26","성매매男",2
"27","임신男",2
"28","재혼대상男",2
"29","중독男",2
"30","초혼男",2
"31","탈모男",2
"32","파렴치男",2
"33","허위신고男",2
"34","황당男",2
"35","갈취男",1
"36","강도男",1
"37","거부男",1
"38","게임중독男",1
"39","고백男",1
"40","골초男",1
"41","공개구혼男",1
"42","공모男",1
"43","괴물男",1
"44","구인男",1
"45","기내흡연男",1
"46","능력男",1
"47","대담男",1
"48","대만男",1
"49","대머리男",1
"50","도망男",1
"51","도촬男",1
"52","돌싱男",1
"53","러시아男",1
"54","만취男",1
"55","맞은男",1
"56","매력男",1
"57","몹쓸男",1
"58","몽골男",1
"59","무슬림男",1
"60","무자식男",1
"61","무직男",1
"62","미국男",1
"63","받은男",1
"64","배신男",1
"65","불쌍한男",1
"66","비정男",1
"67","뻔뻔男",1
"68","살해한男",1
"69","살해男",1
"70","상습욕설男",1
"71","서울시男",1
"72","섭식장애男",1
"73","성매매男女",1
"74","성인男",1
"75","성추행男",1
"76","성형한男",1
"77","섹시男",1
"78","솔로男",1
"79","수렵男",1
"80","수집男",1
"81","순수男",1
"82","스웨덴男",1
"83","스티커사진男",1
"84","신원미상男",1
"85","싱글男",1
"86","악질男",1
"87","애완男",1
"88","여유증男",1
"89","역삼동男",1
"90","연하男",1
"91","완벽男",1
"92","욕설男",1
"93","용문신男",1
"94","원조교제男",1
"95","유부男",1
"96","의심男",1
"97","이웃男",1
"98","이혼男",1
"99","인면수심男",1
"100","임신시킨男",1
"101","자궁男",1
"102","자뻑男",1
"103","자전거男",1
"104","재혼男",1
"105","정신분열男",1
"106","정신장애男",1
"107","정신질환男",1
"108","종이컵男",1
"109","중국男",1
"110","즐긴男",1
"111","직장기혼男",1
"112","짐승男",1
"113","창男",1
"114","채팅男",1
"115","청년男",1
"116","촬영男",1
"117","출신男",1
"118","친절男",1
"119","카리스마男",1
"120","탈북男",1
"121","투신男",1
"122","평범男",1
"123","폭행男",1
"124","행세男",1
"125","헌팅男",1
"126","헬멧男",1
"127","현대男",1
"128","환불男",1
"129","희귀병男",1
"130","히로뽕男",1
"131","男女",1
