"","Var1","Freq"
"1","만취女",14
"2","벤츠女",13
"3","지적장애女",8
"4","짝사랑女",7
"5","필리핀女",6
"6","백인女",5
"7","연하女",5
"8","핫팬츠女",5
"9","햄버거女",5
"10","남아공女",4
"11","스쿠터女",4
"12","주식고수女",4
"13","피해女",4
"14","기혼女",3
"15","진상女",3
"16","길가던女",2
"17","대만女",2
"18","동거女",2
"19","미혼女",2
"20","세미나女",2
"21","신원미상女",2
"22","아시아계女",2
"23","아시아女",2
"24","연쇄살인女",2
"25","영국女",2
"26","위반女",2
"27","이웃女",2
"28","인니女",2
"29","젊은女",2
"30","중국女",2
"31","채팅女",2
"32","폭행女",2
"33","학대女",2
"34","결혼이주女",1
"35","결혼적령기女",1
"36","경단女",1
"37","경력보유女",1
"38","고민女",1
"39","고소女",1
"40","금발女",1
"41","난동女",1
"42","내시경女",1
"43","내연女",1
"44","노출한女",1
"45","노출女",1
"46","놓친女",1
"47","돌싱女",1
"48","돌진女",1
"49","동양인女",1
"50","동행女",1
"51","레깅스女",1
"52","마스크女",1
"53","마약투약女",1
"54","막말女",1
"55","만취벤츠女",1
"56","맞선女",1
"57","멕시코女",1
"58","무슬림女",1
"59","버스사고女",1
"60","변장女",1
"61","본女",1
"62","브라질女",1
"63","비키니女",1
"64","비혼女",1
"65","사망女",1
"66","사실혼女",1
"67","사우디女",1
"68","샤워女",1
"69","성관계女",1
"70","성매매女",1
"71","섹시女",1
"72","숏컷女",1
"73","스페인女",1
"74","시선강탈女",1
"75","신고女",1
"76","싱가포르女",1
"77","약혼女",1
"78","연상女",1
"79","엽기女",1
"80","영상女",1
"81","옆집女",1
"82","울산女",1
"83","육아휴직女",1
"84","의존적女",1
"85","이공계女",1
"86","인도네시아女",1
"87","인도女",1
"88","전신성형女",1
"89","중년女",1
"90","지적장애인女",1
"91","차림女",1
"92","칠한女",1
"93","캐나다女",1
"94","콩고女",1
"95","킥보드女",1
"96","탈북女",1
"97","태국女",1
"98","터키女",1
"99","통화女",1
"100","트랜스젠더女",1
"101","펜팔女",1
"102","한국女",1
"103","혼자사는女",1
"104","홍콩女",1
"105","환불女",1
"106","흑인女",1
"107","女女女女女女女女女",1
